top.src> @ 0 s	send: 'H'
top.src> @ 110 ns	send: 'e'
top.src> @ 220 ns	send: 'l'
top.src> @ 330 ns	send: 'l'
top.snk> @ 440 ns	recv: 'H'
top.snk> @ 540 ns	recv: 'e'
top.snk> @ 640 ns	recv: 'l'
top.snk> @ 740 ns	recv: 'l'
top.src> @ 840 ns	send: 'o'
top.src> @ 950 ns	send: ' '
top.src> @ 1060 ns	send: 'S'
top.src> @ 1170 ns	send: 'y'
top.snk> @ 1280 ns	recv: 'o'
top.snk> @ 1380 ns	recv: ' '
top.snk> @ 1480 ns	recv: 'S'
top.snk> @ 1580 ns	recv: 'y'
top.src> @ 1680 ns	send: 's'
top.src> @ 1790 ns	send: 't'
top.src> @ 1900 ns	send: 'e'
top.src> @ 2010 ns	send: 'M'
top.snk> @ 2120 ns	recv: 's'
top.snk> @ 2220 ns	recv: 't'
top.snk> @ 2320 ns	recv: 'e'
top.snk> @ 2420 ns	recv: 'M'
top.src> @ 2520 ns	send: 'o'
top.src> @ 2630 ns	send: 'C'
top.src> @ 2740 ns	send: '!'
